Name,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F1 (micro),F1 (macro),F1 (weighted)
salinas_a_clustering_kmeans_convolutional_autoencoder_1.txt,0.6613687359760658,0.7186948198936429,0.7162262310100254,0.6613687359760658,0.6618202566265846,0.6613687359760658,0.6613687359760658,0.6442395919397855,0.6201946202805361,0.6613687359760658
salinas_a_clustering_kmeans_convolutional_autoencoder_2.txt,0.731114435302917,0.7232731519669118,0.711869168624954,0.731114435302917,0.805118510354279,0.731114435302917,0.731114435302917,0.7189311138410289,0.6734252265206033,0.731114435302917
salinas_a_clustering_kmeans_convolutional_autoencoder_3.txt,0.7466342557965595,0.7566868366343904,0.757132570963925,0.7466342557965595,0.8206059133166633,0.7466342557965595,0.7466342557965596,0.7365650507137355,0.6934747021732596,0.7466342557965595
salinas_a_clustering_kmeans_linear_autoencoder_1.txt,0.725130890052356,0.7387304778139189,0.734957496488583,0.725130890052356,0.723293129814377,0.725130890052356,0.725130890052356,0.6972282818024215,0.6766691863946769,0.725130890052356
salinas_a_clustering_kmeans_linear_autoencoder_2.txt,0.5905011219147345,0.6961345897564097,0.6870626787041656,0.5905011219147345,0.7277798994000352,0.5905011219147345,0.5905011219147345,0.6388487214866228,0.5601490707595986,0.5905011219147345
salinas_a_clustering_kmeans_linear_autoencoder_3.txt,0.5908750934928946,0.6878553043586638,0.6725009085515063,0.5908750934928946,0.7288329761388478,0.5908750934928946,0.5908750934928946,0.6373266668929757,0.5560479495339095,0.5908750934928946
salinas_a_clustering_kmeans_linear_autoencoder_4.txt,0.6135003739715782,0.6640084837422114,0.6276897647397535,0.6135003739715782,0.7463217197067421,0.6135003739715782,0.6135003739715782,0.6679090077363975,0.5835710889660942,0.6135003739715782
salinas_a_clustering_kmeans_linear_autoencoder_5.txt,0.5905011219147345,0.6177444403466931,0.5794177742524268,0.5905011219147345,0.6115052390644254,0.5905011219147345,0.5905011219147345,0.5584884607974838,0.5034296026222088,0.5905011219147345
salinas_a_clustering_kmeans_linear_autoencoder_6.txt,0.6467838444278234,0.6830139972285849,0.6733861663676628,0.6467838444278234,0.6510700187663899,0.6467838444278234,0.6467838444278234,0.6251218875913552,0.5971078003656632,0.6467838444278234
salinas_a_clustering_kmeans_none_autoencoder_none.txt,0.8068436798803291,0.8516335710560902,0.8807070980905332,0.8068436798803291,0.8592953251872734,0.8068436798803291,0.8068436798803291,0.8119105303948825,0.7924755482429483,0.8068436798803291
salinas_a_gaussian_mixture_diag_convolutional_autoencoder_1.txt,0.6026551982049364,0.5548571027318596,0.5019469235670905,0.6026551982049364,0.6259607505464546,0.6026551982049364,0.6026551982049364,0.5546643611285138,0.5053367516365173,0.6026551982049364
salinas_a_gaussian_mixture_diag_convolutional_autoencoder_2.txt,0.6768885564697082,0.7506741210658262,0.7457266667197853,0.6768885564697082,0.6788646602804582,0.6768885564697082,0.6768885564697082,0.669742128082068,0.6425415614132034,0.6768885564697082
salinas_a_gaussian_mixture_diag_convolutional_autoencoder_3.txt,0.6054599850411369,0.7367155205099518,0.7572712453080506,0.6054599850411369,0.7440881419729517,0.6054599850411369,0.6054599850411369,0.6330414749690908,0.5521777794141312,0.6054599850411369
salinas_a_gaussian_mixture_diag_linear_autoencoder_1.txt,0.8380703066566941,0.8869284355590272,0.9065255339661157,0.8380703066566941,0.8794517884642824,0.8380703066566941,0.8380703066566941,0.8516597374538176,0.8351707079079714,0.8380703066566941
