Name,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F1 (micro),F1 (macro),F1 (weighted)
samson_clustering_kmeans_convolutional_autoencoder_1.txt,0.6465890183028287,0.6255297930690601,0.9518678044694893,0.6465890183028287,0.4735406437534097,0.6465890183028287,0.6465890183028287,0.5088008821085873,0.72557922145756,0.6465890183028287
samson_clustering_kmeans_convolutional_autoencoder_2.txt,0.6198003327787022,0.6060500290866783,0.9290755082425162,0.6198003327787022,0.45890161847608657,0.6198003327787022,0.6198003327787022,0.48241219932645923,0.6848244171953192,0.6198003327787022
samson_clustering_kmeans_convolutional_autoencoder_3.txt,0.5955074875207986,0.5954377725595438,0.9166586383758256,0.5955074875207986,0.4456264775413712,0.5955074875207986,0.5955074875207986,0.461451455565103,0.6507797974182039,0.5955074875207986
samson_clustering_kmeans_linear_autoencoder_1.txt,0.8901830282861897,0.5944741532976827,0.915531155738653,0.8901830282861897,0.6066557555919257,0.8901830282861897,0.8901830282861897,0.5932132854436091,0.892296579358485,0.8901830282861897
samson_clustering_kmeans_linear_autoencoder_2.txt,0.8948419301164725,0.5980126467931346,0.9196713697586227,0.8948419301164725,0.6092016730314603,0.8948419301164725,0.8948419301164725,0.5969560054711337,0.8976859469086146,0.8948419301164725
samson_clustering_kmeans_linear_autoencoder_3.txt,0.6560732113144758,0.6214355948869223,0.9470773882270944,0.6560732113144758,0.4787234042553192,0.6560732113144758,0.6560732113144758,0.511540865760275,0.7321377638300909,0.6560732113144758
samson_clustering_kmeans_linear_autoencoder_4.txt,0.708153078202995,0.5831202046035805,0.902246469013707,0.708153078202995,0.5071831242044008,0.708153078202995,0.7081530782029949,0.5140918408926184,0.7523113848356345,0.708153078202995
samson_clustering_kmeans_linear_autoencoder_5.txt,0.7392678868552413,0.5577254451464676,0.8725333328236207,0.7392678868552413,0.5241862156755773,0.7392678868552413,0.7392678868552411,0.5109520212598825,0.7580163516666953,0.7392678868552413
samson_clustering_kmeans_linear_autoencoder_6.txt,0.6061564059900166,0.6160154365653642,0.9407355324338836,0.6061564059900166,0.45144571740316425,0.6061564059900166,0.6061564059900166,0.4803462924890837,0.6771295512651379,0.6061564059900166
samson_clustering_kmeans_none_autoencoder_none.txt,0.6209650582362729,0.6076779026217228,0.9309802015367645,0.6209650582362729,0.4595380978359702,0.6209650582362729,0.6209650582362729,0.48406516250076975,0.6872010641001693,0.6209650582362729
samson_gaussian_mixture_diag_convolutional_autoencoder_1.txt,0.7302828618968386,0.6663824950269963,0.9996675049966451,0.7302828618968386,0.5192762320421895,0.7302828618968386,0.7302828618968387,0.5719117845995277,0.8266970981182782,0.7302828618968386
samson_gaussian_mixture_diag_convolutional_autoencoder_2.txt,0.6840266222961731,0.6666666666666666,1.0,0.6840266222961731,0.4939989088925259,0.6840266222961731,0.6840266222961731,0.5501564513160316,0.7867921217260758,0.6840266222961731
samson_gaussian_mixture_diag_convolutional_autoencoder_3.txt,0.7405990016638935,0.6572692095080155,0.9890045060333384,0.7405990016638935,0.5249136206583015,0.7405990016638935,0.7405990016638935,0.5718840123228639,0.8296974984206912,0.7405990016638935
samson_gaussian_mixture_diag_linear_autoencoder_1.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
samson_gaussian_mixture_diag_linear_autoencoder_2.txt,0.9993344425956738,0.9991482112436116,0.9993355764243013,0.9993344425956738,0.9994544462629569,0.9993344425956738,0.9993344425956738,0.9993008167763022,0.9993345446467191,0.9993344425956738
samson_gaussian_mixture_diag_linear_autoencoder_3.txt,0.7901830282861897,0.6666666666666666,1.0,0.7901830282861897,0.5517017676809993,0.7901830282861897,0.7901830282861897,0.5974007077195358,0.8735286408152313,0.7901830282861897
samson_gaussian_mixture_diag_linear_autoencoder_4.txt,0.7590682196339434,0.6603878889353983,0.9926535166378904,0.7590682196339434,0.5350063647935989,0.7590682196339434,0.7590682196339436,0.5814670645652558,0.8461803612483221,0.7590682196339434
samson_gaussian_mixture_diag_linear_autoencoder_5.txt,0.6966722129783693,0.6086445853887714,0.9321112686279268,0.6966722129783693,0.5009092562284052,0.6966722129783693,0.6966722129783693,0.5245856534026855,0.7609682630309323,0.6966722129783693
samson_gaussian_mixture_diag_linear_autoencoder_6.txt,0.6958402662229617,0.5884209380781369,0.9084485917746187,0.6958402662229617,0.5004546281142025,0.6958402662229617,0.6958402662229617,0.5116340449431759,0.7455482857011095,0.6958402662229617
samson_gaussian_mixture_diag_none_autoencoder_none.txt,0.9936772046589019,0.6661172161172161,0.9989945329213217,0.9936772046589019,0.662903804414951,0.9936772046589019,0.9936772046589019,0.6645057639598707,0.9963275440650156,0.9936772046589019
samson_gaussian_mixture_full_convolutional_autoencoder_1.txt,0.7507487520798669,0.6662405908251668,0.9995014699971003,0.7507487520798669,0.530460083651573,0.7507487520798669,0.7507487520798669,0.5808632742426051,0.843124748561029,0.7507487520798669
samson_gaussian_mixture_full_convolutional_autoencoder_2.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
samson_gaussian_mixture_full_convolutional_autoencoder_3.txt,0.9043261231281198,0.6572692095080155,0.9890045060333384,0.9043261231281198,0.6143844335333697,0.9043261231281198,0.9043261231281198,0.6335351114351754,0.9425159323703087,0.9043261231281198
samson_gaussian_mixture_full_linear_autoencoder_1.txt,0.997504159733777,0.9979625101874491,0.9975143302320095,0.997504159733777,0.9968003412969284,0.997504159733777,0.997504159733777,0.9973742104827634,0.9975027018139826,0.997504159733777
